no,id,name,p_type,s_type,rarity,height,weight,ovr,a_ovr,hgt,str,spe,jmp,end,ins,dnk,ft,fg,tp,oiq,diq,drb,pss,reb,r_total,to_evo,from_evo,evo_age,evo_item,evo_ability,mega_evo,mega_x,mega_y,form,form_item,form_ability
142,142,Aerodactyl,Rock,Flying,Pseudo,71,130,43.78,41,62,49,74,69,50,55,51,61,40,26,20,13,46,38,44,698,,,,,,10042,,,,,
142,10042,Mega Aerodactyl,Rock,Flying,,83,174,51.01,55,69,49,80,76,50,68,63,72,44,30,34,18,56,48,53,810,,,,,,,,,,,
143,143,Snorlax,Normal,,Pseudo,83,1014,44.43,42,69,71,26,24,50,58,53,63,42,28,22,34,63,56,44,703,,,,,,,,,,,
144,144,Articuno,Ice,Flying,Legendary,67,122,48.28,50,59,53,53,52,50,45,43,51,52,40,27,35,70,63,58,751,,,,,,,,,,,
144,144_f2,Articuno-Galar,Psychic,Flying,Legendary,67,112,48.20,50,59,53,58,57,50,45,43,51,62,52,31,29,58,51,53,752,,,,,,,,,,,
145,145,Zapdos,Electric,Flying,Legendary,63,116,48.20,50,56,53,61,59,50,48,45,53,62,52,31,32,53,46,53,754,,,,,,,,,,,
145,145_f2,Zapdos-Galar,Fighting,Flying,Legendary,63,128,48.19,50,56,53,61,59,50,64,59,69,49,36,36,30,53,46,54,775,,,,,,,,,,,
146,146,Moltres,Fire,Flying,Legendary,79,132,48.21,50,67,53,56,54,50,53,49,58,62,52,33,25,51,43,54,760,,,,,,,,,,,
146,146_f2,Moltres-Galar,Dark,Flying,Legendary,79,146,48.21,50,67,53,56,54,50,45,43,51,54,42,22,27,70,63,54,751,,,,,,,,,,,
147,147,Dratini,Dragon,,Pseudo,71,7,30.34,20,62,30,36,34,50,35,34,40,36,22,8,8,33,26,33,487,148,,20,,,,,,,,
148,148,Dragonair,Dragon,,,157,36,40.14,34,76,40,46,44,50,45,42,50,44,30,15,18,43,36,44,623,149,147,22,,,,,,,,
149,149,Dragonite,Dragon,Flying,,87,463,47.30,48,70,53,51,49,50,68,63,72,54,42,24,23,58,51,56,784,,148,,,,,,,,,
150,150,Mewtwo,Psychic,,Mythical,79,269,54.70,60,67,58,74,69,50,58,53,63,72,64,40,29,53,46,54,850,,,,,,,10043,10044,,,
150,10043,Mega Mewtwo X,Psychic,Fighting,,91,280,60.10,66,70,58,74,69,50,90,85,90,72,64,45,40,58,51,58,974,,,,,,,,,,,
150,10044,Mega Mewtwo Y,Psychic,,,59,73,60.10,66,53,58,77,73,50,74,69,77,85,80,56,35,68,61,46,962,,,,,,,,,,,
151,151,Mew,Psychic,,Pseudo,16,9,45.73,45,8,56,61,59,50,53,49,58,54,42,48,48,58,51,58,753,,,,,,,,,,,
152,152,Chikorita,Grass,,Rare,35,14,29.51,20,29,32,33,32,50,27,28,33,35,22,20,24,41,33,44,483,153,,19,,,,,,,,
153,153,Bayleef,Grass,,,47,35,36.68,29,41,39,41,39,50,34,33,39,41,27,25,30,48,41,51,579,154,152,22,,,,,,,,
154,154,Meganium,Grass,,,71,222,47.28,48,62,49,51,49,50,44,41,49,48,35,30,40,58,51,58,715,,153,,,,,,,,,
155,155,Cyndaquil,Fire,,Rare,20,17,29.51,20,11,29,43,42,50,29,29,34,40,26,29,25,38,31,32,488,156,,19,,,,,,,,
156,156,Quilava,Fire,,,35,42,36.62,29,29,38,51,49,50,35,34,40,47,34,33,27,41,33,39,580,157,155,22,,,,,,,,
157,157,Typhlosion,Fire,,,67,175,47.21,48,59,48,61,59,50,45,42,50,57,46,34,29,51,43,50,724,,156,,,,,,,,,
158,158,Totodile,Water,,Rare,24,21,29.50,20,15,34,32,31,50,35,35,41,33,20,34,31,32,25,43,491,159,,19,,,,,,,,
159,159,Croconaw,Water,,,43,55,36.68,29,37,42,40,38,50,43,41,48,40,26,35,29,40,32,51,592,160,158,22,,,,,,,,
160,160,Feraligatr,Water,,,91,196,47.27,48,70,51,50,48,50,55,51,61,47,34,37,29,50,42,58,733,,159,,,,,,,,,
161,161,Sentret,Normal,,Common,31,13,21.91,12,24,27,16,19,50,26,27,31,28,16,12,20,31,23,27,377,162,,19,,,,,,,,
162,162,Furret,Normal,,,71,72,35.33,27,62,51,56,54,50,41,39,46,33,20,4,7,36,28,43,570,,161,,,,,,,,,
163,163,Hoothoot,Normal,Flying,Uncommon,28,47,26.12,16,19,39,36,34,50,18,21,23,29,17,15,21,36,29,25,412,164,,20,,,,,,,,
164,164,Noctowl,Normal,Flying,,63,90,40.86,35,56,56,46,44,50,28,29,33,49,37,17,26,56,49,35,611,,163,,,,,,,,,
165,165,Ledyba,Bug,Flying,Common,39,24,25.33,15,33,29,38,37,50,13,16,18,31,18,5,5,48,41,25,407,166,,19,,,,,,,,
166,166,Ledian,Bug,Flying,,55,79,36.02,28,49,37,53,52,50,20,23,26,38,24,12,12,63,56,35,550,,165,,,,,,,,,
167,167,Spinarak,Bug,Poison,Common,20,19,21.28,11,11,29,26,24,50,33,33,38,31,18,17,13,27,21,30,401,168,,19,,,,,,,,
168,168,Ariados,Bug,Poison,,43,74,35.61,28,37,44,31,29,50,48,45,53,40,26,41,22,43,36,46,591,,167,,,,,,,,,
169,169,Crobat,Poison,Flying,,71,165,45.95,45,62,51,74,69,50,48,45,53,44,30,27,18,48,41,51,711,,41,,,,,,,,,
170,170,Chinchou,Water,Electric,Common,20,27,25.44,15,11,47,44,43,50,22,24,27,39,25,10,10,36,29,29,446,171,,20,,,,,,,,
171,171,Lanturn,Water,Electric,,47,50,38.64,32,41,63,44,43,50,32,32,37,46,33,26,26,46,39,39,597,,170,,,,,,,,,
172,172,Pichu,Electric,,Common,12,4,18.71,9,5,19,41,39,50,23,25,28,28,16,10,6,22,18,11,341,25,,,luckyegg,,,,,,,
173,173,Cleffa,Fairy,,Common,12,7,18.48,9,5,34,11,14,50,15,18,21,33,20,15,15,36,28,24,339,35,,,luckyegg,,,,,,,
174,174,Igglybuff,Normal,Fairy,Common,12,2,18.69,9,5,34,11,14,50,15,18,21,33,20,13,18,36,28,24,340,39,,,luckyegg,,,,,,,
175,175,Togepi,Fairy,,Uncommon,12,3,20.18,10,5,27,16,19,50,13,16,18,31,18,18,18,41,33,44,367,176,,,luckyegg,,,,,,,
176,176,Togetic,Fairy,Flying,,24,7,32.18,23,15,37,31,29,50,23,25,28,47,34,24,31,61,53,53,541,468,175,,shinystone,,,,,,,
177,177,Natu,Psychic,Flying,Common,8,4,25.02,15,3,29,46,44,50,28,29,33,44,30,13,19,31,23,33,455,178,,20,,,,,,,,
178,178,Xatu,Psychic,Flying,,59,33,40.17,34,53,42,58,57,50,40,39,46,52,40,15,23,43,36,46,640,,177,,,,,,,,,
179,179,Mareep,Electric,,Common,24,17,22.35,12,15,37,28,27,50,23,25,28,42,28,9,12,31,23,30,408,180,,19,,,,,,,,
180,180,Flaafy,Electric,,,31,29,30.30,20,24,44,33,32,50,30,31,36,47,34,20,23,38,31,38,511,181,179,21,,,,,,,,
181,181,Ampharos,Electric,,,55,136,42.16,37,49,53,38,37,50,40,39,46,59,48,28,33,53,46,53,672,,180,,,,10045,,,,,
181,10045,Mega Ampharos,Electric,Dragon,,55,136,48.18,50,49,53,33,32,50,50,47,56,75,68,42,43,63,56,59,776,,,,,,,,,,,
182,182,Bellossom,Grass,,,16,13,40.10,34,8,47,36,34,50,43,41,48,50,38,54,45,58,51,56,659,,44,,,,,,,,,
183,183,Marill,Water,Fairy,Common,16,19,21.57,12,8,44,31,29,50,13,16,18,21,10,17,12,33,26,35,363,184,298,20,,,,,,,,
184,184,Azumarill,Water,Fairy,,31,63,40.20,34,24,56,36,34,50,28,29,33,40,26,57,42,48,41,51,595,,183,,,,,,,,,
185,185,Sudowoodo,Rock,,Uncommon,47,84,36.69,29,41,44,26,24,50,53,49,58,26,14,24,50,41,33,62,595,,438,,,,,,,,,
186,186,Politoed,Water,,,43,75,42.40,38,37,53,46,44,50,40,39,46,50,38,30,38,58,51,49,669,,61,,,,,,,,,
187,187,Hoppip,Grass,Flying,Common,16,1,20.78,11,8,27,36,34,50,20,23,26,28,16,9,9,36,28,30,380,188,,18,,,,,,,,
188,188,Skiploom,Grass,Flying,,24,2,28.89,19,15,37,51,49,50,25,27,31,33,20,17,17,41,33,35,481,189,187,20,,,,,,,,
189,189,Jumpluff,Grass,Flying,,31,7,40.24,34,24,47,66,63,50,30,31,36,38,24,27,34,56,48,46,620,,188,,,,,,,,,
190,190,Aipom,Normal,,Uncommon,31,25,30.49,21,24,37,53,52,50,38,37,43,31,18,24,10,36,28,38,519,424,,21,,,,,,,,
191,191,Sunkern,Grass,,Common,12,4,20.16,10,5,24,26,24,50,18,21,23,26,14,22,24,17,15,25,334,192,,,sunstone,,,,,,,
192,192,Sunflora,Grass,,,31,19,35.11,27,24,47,26,24,50,40,39,46,55,44,28,35,51,43,38,590,,191,,,,,,,,,
193,193,Yanma,Bug,Flying,Uncommon,47,84,32.59,23,41,42,58,57,50,35,35,41,45,32,12,6,31,23,33,541,469,,21,,,,,,,,
194,194,Wooper,Water,Ground,Common,16,19,19.70,10,8,37,11,14,50,25,27,31,23,12,20,30,12,10,33,343,195,,20,,,,,,,,
195,195,Quagsire,Water,Ground,,55,165,39.71,34,49,54,28,27,50,45,43,51,42,28,28,46,41,33,53,618,,194,,,,,,,,,
196,196,Espeon,Psychic,,Rare,35,58,40.58,35,29,42,66,63,50,35,35,41,64,54,22,21,56,48,41,667,,133,,,,,,,,,
197,197,Umbreon,Dark,,Rare,39,60,40.54,35,33,54,43,42,50,35,35,41,40,26,19,38,72,66,61,655,,133,,,,,,,,,
198,198,Murkrow,Dark,Flying,Uncommon,20,5,32.22,23,11,39,56,55,50,45,43,51,49,36,18,28,29,22,31,563,430,,,duskstone,,,,,,,
199,199,Slowking,Water,Psychic,,79,175,40.83,35,67,54,26,24,50,40,39,46,54,42,21,21,63,56,51,654,,79,,,,,,,,,
199,199_f2,Slowking-Galar,Poison,Psychic,,71,175,40.89,35,62,54,26,24,50,35,35,41,57,46,20,27,63,56,51,647,,080_f2,,,,,,,,,
200,200,Misdreavus,Ghost,,Uncommon,28,2,33.89,25,19,39,53,52,50,33,33,38,49,36,23,17,51,43,41,577,429,,,duskstone,,,,,,,
201,201,Unown,Psychic,,Common,20,11,25.31,15,11,33,35,33,50,39,37,44,44,31,16,15,32,25,34,479,,,,,,,,,,,
202,202,Wobbuffet,Psychic,,Uncommon,51,63,35.02,27,45,77,27,26,50,19,22,25,27,15,10,45,37,30,39,494,,360,,,,,,,,,
203,203,Girafarig,Normal,Psychic,Uncommon,59,92,36.66,29,53,44,53,52,50,43,41,48,50,38,11,11,41,33,44,612,,,,,,,,,,,
204,204,Pineco,Bug,,Common,24,16,21.50,12,15,34,11,14,50,35,35,41,28,16,14,27,22,18,54,414,205,,20,,,,,,,,
205,205,Forretress,Bug,Steel,,47,277,37.81,31,41,47,31,29,50,48,45,53,40,26,24,47,38,31,68,618,,204,,,,,,,,,
206,206,Dunsparce,Normal,,Common,59,31,30.42,20,53,56,33,32,50,38,37,43,42,28,2,2,41,33,46,536,,,,,,,,,,,
207,207,Gligar,Ground,Flying,Uncommon,43,143,34.15,26,37,42,53,52,50,40,39,46,28,16,14,21,41,33,59,571,472,,,razorfang,,,,,,,
208,208,Steelix,Steel,Ground,,362,882,44.85,43,84,47,26,24,50,45,43,51,38,24,30,48,41,33,80,664,,95,,,,10072,,,,,
208,10072,Mega Steelix,Steel,Ground,,413,1631,49.64,53,85,47,26,24,50,64,59,69,38,24,32,57,56,48,86,765,,,,,,,,,,,
209,209,Snubbull,Fairy,,Common,24,17,23.25,13,15,39,26,24,50,43,41,48,31,18,19,11,27,21,35,448,210,,20,,,,,,,,
210,210,Granbull,Fairy,,,55,107,36.93,30,49,53,33,32,50,62,57,67,40,26,29,20,38,31,49,636,,209,,,,,,,,,
211,211,Qwilfish,Water,Poison,Uncommon,20,9,31.54,22,11,42,53,52,50,50,47,56,38,24,14,27,36,28,53,581,,,,,,,,,,,
212,212,Scizor,Bug,Steel,,71,260,44.42,42,62,44,43,42,50,66,61,70,38,24,35,34,48,41,58,716,,123,,,,10046,,,,,
212,10046,Mega Scizor,Bug,Steel,,79,276,50.83,55,67,44,48,47,50,74,69,77,42,28,44,43,58,51,68,810,,,,,,,,,,,
213,213,Shuckle,Bug,Rock,Common,24,45,28.38,18,15,19,1,4,50,8,11,12,16,6,12,50,93,88,86,471,,,,,,,,,,,
214,214,Heracross,Bug,Fighting,Rare,59,119,42.01,37,53,49,53,52,50,64,59,69,31,18,34,14,56,48,49,699,,,,,,10047,,,,,
214,10047,Mega Heracross,Bug,Fighting,,67,138,48.21,50,59,49,48,47,50,88,83,89,31,18,46,29,61,53,62,813,,,,,,,,,,,
215,215,Sneasel,Dark,Ice,Uncommon,35,62,33.94,25,29,37,68,64,50,50,47,56,28,16,16,7,46,38,38,590,461,,,razorclaw,,,,,,,
216,216,Teddiursa,Normal,,Common,24,19,24.94,15,15,39,31,29,50,43,41,48,36,22,20,9,33,26,35,477,217,,20,,,,,,,,
217,217,Ursaring,Normal,,,71,277,40.13,34,62,53,38,37,50,66,61,70,45,32,26,14,46,38,49,687,,216,,,,,,,,,
218,218,Slugma,Fire,,Common,28,77,22.30,12,19,29,16,19,50,23,25,28,44,30,17,18,27,21,30,396,219,,19,,,,,,,,
219,219,Magcargo,Fire,Rock,,31,121,35.38,27,24,39,26,24,50,28,29,33,50,38,32,45,48,41,63,570,,218,,,,,,,,,
220,220,Swinub,Ice,Ground,Common,16,14,20.71,11,8,34,36,34,50,28,29,33,26,14,11,14,17,15,30,379,221,,19,,,,,,,,
221,221,Piloswine,Ice,Ground,,43,123,33.33,24,37,56,36,34,50,53,49,58,40,26,16,19,38,31,51,594,473,220,21,,,,,,,,
222,222,Corsola,Water,Rock,Common,24,11,30.16,20,15,42,28,27,50,30,31,36,42,28,19,27,56,48,56,535,,,,,,,,,,,
222,222_f2,Corsola-Galar,Ghost,,Uncommon,24,1,30.14,20,15,39,26,24,50,30,31,36,42,28,14,33,58,51,58,535,864,,21,,,,,,,,
223,223,Remoraid,Water,,Common,24,27,23.47,14,15,27,43,42,50,35,35,41,42,28,12,6,22,18,28,444,224,,19,,,,,,,,
224,224,Octillery,Water,,,35,63,35.64,28,29,47,33,32,50,55,51,61,55,44,33,19,46,38,49,642,,223,,,,,,,,,
225,225,Delibird,Ice,Flying,Common,35,35,29.13,19,29,32,48,47,50,30,31,36,42,28,13,15,31,23,33,488,,,,,,,,,,,
226,226,Mantine,Water,Flying,Rare,83,485,40.12,34,69,51,46,44,50,23,25,28,47,34,4,9,75,70,46,621,,458,,,,,,,,,
227,227,Skarmory,Steel,Flying,Rare,67,111,38.28,32,59,42,46,44,50,43,41,48,31,18,11,31,43,36,68,611,,,,,,,,,,,
228,228,Houndour,Dark,Fire,Uncommon,24,24,27.15,17,15,32,43,42,50,33,33,38,47,34,21,10,33,26,25,482,229,,21,,,,,,,,
229,229,Houndoom,Dark,Fire,,55,77,42.44,38,49,47,58,57,50,48,45,53,57,46,33,15,48,41,35,682,,228,,,,10048,,,,,
229,10048,Mega Houndoom,Dark,Fire,,75,109,50.94,55,65,47,68,64,50,48,45,53,67,58,43,23,53,46,54,784,,,,,,,,,,,
230,230,Kingdra,Water,Dragon,,71,335,45.87,45,62,47,53,52,50,50,47,56,52,40,32,25,56,48,56,726,,117,,,,,,,,,
231,231,Phanpy,Ground,,Common,20,74,25.55,16,11,53,31,29,50,33,33,38,31,18,17,22,27,21,41,455,232,,20,,,,,,,,
232,232,Donphan,Ground,,,43,265,40.11,34,37,53,36,34,50,62,57,67,40,26,34,44,38,31,63,672,,231,,,,,,,,,
233,233,Porygon2,Normal,,,24,72,38.35,32,15,51,41,39,50,43,41,48,55,44,32,37,56,48,54,654,474,137,,dubiousdisc,,,,,,,
234,234,Stantler,Normal,,Uncommon,55,157,36.70,29,49,46,53,52,50,50,47,56,49,36,13,11,41,33,42,628,,,,,,,,,,,
235,235,Smeargle,Normal,,Common,47,128,30.02,20,41,37,48,47,50,13,16,18,21,10,17,19,31,23,28,419,,,,,,,,,,,
236,236,Tyrogue,Fighting,,Uncommon,28,46,20.02,10,19,27,28,27,50,20,23,26,28,16,10,10,22,18,28,352,106 107 237,,,,,,,,,,
237,237,Hitmontop,Fighting,,Rare,55,106,40.82,35,49,34,46,44,50,50,47,56,28,16,24,34,63,56,56,653,,236,,,,,,,,,
238,238,Smoochum,Ice,Psychic,Common,16,13,23.58,14,8,32,43,42,50,18,21,23,49,36,9,4,41,33,11,420,124,,21,,,,,,,,
239,239,Elekid,Electric,,Uncommon,24,52,26.35,16,15,32,58,57,50,34,34,40,42,28,3,4,36,28,29,490,125,,20,,,,,,,,
240,240,Magby,Fire,,Uncommon,28,47,26.42,16,19,32,52,51,50,40,39,46,44,30,4,3,36,28,29,503,126,,20,,,,,,,,
241,241,Miltank,Normal,,Rare,47,166,40.33,35,41,54,61,59,50,43,41,48,31,18,16,36,43,36,59,636,,,,,,,,,,,
242,242,Blissey,Normal,,,59,103,46.38,46,53,90,38,37,50,8,11,12,45,32,15,55,74,68,6,594,,113,,,,,,,,,
243,243,Raikou,Electric,,Legendary,75,392,48.23,50,65,53,68,64,50,45,43,51,59,48,34,13,58,51,49,751,,,,,,,,,,,
244,244,Entei,Fire,,Legendary,83,437,48.22,50,69,61,61,59,50,60,55,65,50,38,26,28,46,38,53,759,,,,,,,,,,,
245,245,Suicune,Water,,Legendary,79,412,48.25,50,67,56,53,52,50,40,39,46,50,38,19,38,66,58,62,734,,,,,,,,,,,
246,246,Larvitar,Rock,Ground,Pseudo,24,159,24.54,15,15,34,31,30,50,35,34,40,33,20,16,16,33,26,35,448,247,,19,,,,,,,,
247,247,Pupitar,Rock,Ground,,47,335,35.34,27,41,44,36,35,50,45,42,50,42,28,19,29,43,36,46,586,248,246,22,,,,,,,,
248,248,Tyranitar,Rock,Dark,,79,445,47.32,48,67,56,41,40,50,68,63,72,52,40,30,31,58,51,61,780,,247,,,,10049,,,,,
248,10049,Mega Tyranitar,Rock,Dark,,98,562,53.38,58,71,56,46,45,50,80,75,82,52,40,42,37,68,61,70,875,,,,,,,,,,,
249,249,Lugia,Psychic,Flying,Mythical,205,476,55.23,60,79,58,66,63,50,48,45,53,50,38,21,39,80,75,66,831,,,,,,,,,,,
250,250,Ho-oh,Fire,Flying,Mythical,150,439,55.22,60,75,58,56,54,50,66,61,70,57,46,41,27,80,75,54,870,,,,,,,,,,,
251,251,Celebi,Psychic,Grass,Pseudo,24,11,45.75,45,15,56,61,59,50,53,49,58,54,42,35,52,58,51,58,751,,,,,,,,,,,
252,252,Treeko,Grass,,Rare,20,11,29.50,20,11,29,46,44,50,25,27,31,42,28,28,25,36,28,28,478,253,,19,,,,,,,,
253,253,Grovyle,Grass,,,35,48,36.67,29,29,34,58,57,50,35,35,41,49,36,31,22,41,33,33,584,254,252,22,,,,,,,,
254,254,Sceptile,Grass,,,67,115,47.28,48,59,44,70,66,50,45,43,51,55,44,32,25,51,43,44,722,,253,,,,10065,,,,,
254,10065,Mega Sceptile,Grass,Dragon,,75,122,52.64,57,65,44,79,74,50,58,53,63,69,60,36,27,51,43,49,821,,,,,,,,,,,
255,255,Torchic,Fire,,Rare,16,6,29.49,20,8,32,33,32,50,33,33,38,44,30,37,31,33,26,30,490,256,,19,,,,,,,,
256,256,Combusken,Fire,Fighting,,35,43,36.68,29,29,39,38,37,50,45,43,51,49,36,41,31,38,31,41,599,257,255,22,,,,,,,,
257,257,Blaziken,Fire,Fighting,,75,115,47.25,48,65,49,51,49,50,62,57,67,57,46,37,31,43,36,46,746,,256,,,,10050,,,,,
257,10050,Mega Blaziken,Fire,Fighting,,75,115,52.60,57,65,49,61,59,50,78,73,80,64,54,45,33,48,41,51,851,,,,,,,,,,,
258,258,Mudkip,Water,,Rare,16,17,29.58,20,8,34,31,29,50,38,37,43,36,22,36,36,33,26,35,494,259,,19,,,,,,,,
259,259,Marshtomp,Water,Ground,,26,62,36.69,29,19,44,36,34,50,45,43,51,40,26,40,43,43,36,46,596,260,258,22,,,,,,,,
260,260,Swampert,Water,Ground,,59,181,47.28,48,53,56,41,39,50,58,53,63,49,36,42,45,53,46,54,738,,259,,,,10064,,,,,
,10064,Mega Swampert,Water,Ground,,75,225,52.60,57,65,56,46,44,50,74,69,77,52,40,42,45,63,56,61,840,,,,,,,,,,,
261,261,Poochyena,Dark,,Common,20,30,21.55,12,11,27,28,27,50,30,31,36,26,14,21,19,17,15,28,380,262,,20,,,,,,,,
262,262,Mightyena,Dark,,,39,82,37.11,30,33,44,46,44,50,48,45,53,40,26,36,27,38,31,46,607,,261,,,,,,,,,
263,263,Zigzagoon,Normal,,Common,16,39,21.88,12,8,28,41,39,50,18,21,23,26,14,18,10,28,21,31,376,264,,19,,,,,,,,
264,264,Linoone,Normal,,,20,72,35.32,27,11,48,61,59,50,38,37,43,36,22,37,24,39,31,42,578,,263,,,,,,,,,
263,263_f2,Zigzagoon-Galar,Dark,Normal,Common,16,39,21.88,12,8,28,41,39,50,18,21,23,26,14,12,15,28,21,31,375,264_f2,,19,,,,,,,,
264,264_f2,Linoone-Galar,Dark,Normal,,20,72,35.34,27,11,48,61,59,50,38,37,43,36,22,24,35,39,31,42,576,862,263_f2,21,,,,,,,,
265,265,Wurmple,Bug,,Common,12,8,16.30,6,5,32,16,19,50,25,27,31,21,10,13,12,17,15,28,321,266 268,,18,,,,,,,,
266,266,Silcoon,Bug,,Uncommon,24,22,20.28,10,15,34,11,14,50,20,23,26,23,12,35,17,12,10,38,340,267,265,19,,,,,,,,
267,267,Beautifly,Bug,Flying,,39,63,36.12,28,33,39,43,42,50,38,37,43,54,42,36,26,33,26,35,577,,266,,,,,,,,,
268,268,Cascoon,Bug,,Uncommon,28,25,20.30,10,19,34,11,14,50,20,23,26,23,12,16,29,12,10,38,337,269,265,19,,,,,,,,
269,269,Dustox,Bug,Poison,,47,70,36.03,28,41,39,43,42,50,28,29,33,36,22,16,32,53,46,46,556,,268,,,,,,,,,
270,270,Lotad,Water,Grass,Common,20,6,22.78,13,11,29,26,24,50,18,21,23,31,18,18,23,33,26,25,376,271,,19,,,,,,,,
271,271,Lombre,Water,Grass,Uncommon,47,72,33.19,24,41,39,36,34,50,28,29,33,40,26,20,25,43,36,35,515,272,270,,waterstone,,,,,,,
272,272,Ludicolo,Water,Grass,,59,121,42.42,38,53,49,46,44,50,38,37,43,50,38,23,31,58,51,46,657,,271,,,,,,,,,
273,273,Seedot,Grass,,Common,20,9,22.76,13,11,29,26,24,50,23,25,28,26,14,31,22,17,15,35,376,274,,19,,,,,,,,
274,274,Nuzleaf,Grass,Dark,Uncommon,39,62,33.22,24,33,44,41,39,50,38,37,43,40,26,33,23,27,21,30,525,275,273,,leafstone,,,,,,,
275,275,Shiftry,Grass,Dark,,51,131,42.43,38,45,53,51,49,50,53,49,58,50,38,42,26,38,31,41,674,,274,,,,,,,,,
276,276,Taillow,Normal,Flying,Common,12,5,23.32,13,5,29,53,52,50,30,31,36,26,14,15,13,17,15,25,411,277,,20,,,,,,,,
277,277,Swellow,Normal,Flying,,28,44,38.29,32,19,39,72,68,50,45,43,51,45,32,36,25,33,26,41,625,,276,,,,,,,,,
278,278,Wingull,Water,Flying,Common,24,21,23.91,14,15,29,53,52,50,18,21,23,38,24,10,10,17,15,25,400,279,,20,,,,,,,,
279,279,Pelipper,Water,Flying,,47,62,38.29,32,41,39,43,42,50,28,29,33,52,40,23,38,43,36,58,595,,278,,,,,,,,,
280,280,Ralts,Psychic,Fairy,Uncommon,16,15,22.90,13,8,23,31,29,50,15,18,21,33,20,20,30,22,18,21,359,281,,19,,,,,,,,
281,281,Kirlia,Psychic,Fairy,,31,45,30.07,20,24,28,36,34,50,20,23,26,42,28,23,33,36,28,28,459,282 475,280,21,dawnstone,,,,,,,
282,282,Gardevoir,Psychic,Fairy,,63,107,43.96,41,56,43,51,49,50,35,35,41,62,52,15,30,66,58,44,687,,281,,,,10051,,,,,
282,10051,Mega Gardevoir,Psychic,Fairy,,63,107,51.14,55,56,43,61,59,50,45,43,51,75,68,23,39,74,68,44,799,,,,,,,,,,,
283,283,Surskit,Bug,Water,Common,20,4,23.21,13,11,29,43,42,50,18,21,23,36,22,7,13,34,27,26,402,284,,19,,,,,,,,
284,284,Masquerain,Bug,Flying,,31,8,35.57,28,24,44,51,49,50,33,33,38,54,42,13,29,49,42,42,593,,283,,,,,,,,,
285,285,Shroomish,Grass,,Common,16,10,24.68,15,8,39,28,27,50,23,25,28,31,18,18,24,38,31,41,429,286,,20,,,,,,,,
286,286,Breloom,Grass,Fighting,,47,86,40.16,34,41,39,46,44,50,66,61,70,40,26,43,28,38,31,51,674,,285,,,,,,,,,
287,287,Slakoth,Normal,,Uncommon,31,53,21.93,12,24,39,26,24,50,33,33,38,28,16,7,11,22,18,41,410,288,,19,,,,,,,,
288,288,Vigoroth,Normal,,,55,103,33.25,24,49,49,56,54,50,43,41,48,38,24,7,2,36,28,51,576,289,287,21,,,,,,,,
289,289,Slaking,Normal,,,79,288,44.06,41,67,68,61,59,50,78,73,80,52,40,12,8,41,33,58,780,,288,,,,,,,,,
290,290,Nincada,Bug,Ground,Common,20,12,21.58,12,11,25,31,29,50,25,27,31,26,14,19,19,17,15,54,393,291 292,,20,,,,,,,,
291,291,Ninjask,Bug,Flying,,31,27,40.13,34,24,40,81,79,50,48,45,53,36,22,40,22,33,26,33,632,,290,,,,,,,,,
292,292,Shedinja,Bug,Ghost,,31,3,36.09,28,24,1,31,29,50,48,45,53,26,14,59,69,17,15,33,514,,290,,,,,,,,,
293,293,Whismur,Normal,,Common,24,36,21.58,12,15,41,24,23,50,28,29,34,36,23,17,18,10,8,19,375,294,,19,,,,,,,,
294,294,Loudred,Normal,,,39,89,31.59,22,33,51,35,33,50,38,37,44,44,31,23,20,30,22,32,523,295,293,21,,,,,,,,
295,295,Exploud,Normal,,,59,185,42.10,37,53,57,45,43,50,48,45,54,51,39,32,25,45,37,43,667,,294,,,,,,,,,
296,296,Makuhita,Fighting,,Common,39,191,22.04,12,33,45,21,22,50,33,33,38,21,10,10,9,17,15,25,382,297,,20,,,,,,,,
297,297,Hariyama,Fighting,,,91,560,39.48,33,70,67,36,34,50,62,57,67,31,18,17,20,38,31,41,639,,296,,,,,,,,,
298,298,Azurill,Normal,Fairy,Common,8,4,16.34,6,3,34,16,19,50,13,16,18,21,10,15,10,27,21,30,303,183,,18,,,,,,,,
299,299,Nosepass,Rock,,Common,39,214,24.32,14,33,34,16,19,50,13,16,18,21,10,14,31,27,21,30,353,476,,,thunderstone,,,,,,,
300,300,Skitty,Normal,,Common,24,24,20.88,11,15,34,36,34,50,25,27,31,28,16,7,8,22,18,33,384,301,,,moonstone,,,,,,,
301,301,Delcatty,Normal,,,43,72,36.04,28,37,44,56,54,50,35,35,41,38,24,19,27,36,28,44,568,,300,,,,,,,,,
302,302,Sableye,Dark,Ghost,Uncommon,20,24,33.98,25,11,34,36,34,50,40,39,46,42,28,32,48,41,33,49,563,,,,,,10066,,,,,
302,10066,Mega Sableye,Dark,Ghost,,20,355,43.28,40,11,34,16,19,50,45,43,51,49,36,69,70,66,58,64,681,,,,,,,,,,,
303,303,Mawile,Steel,Fairy,Uncommon,24,25,33.93,25,15,34,36,34,50,45,43,51,38,24,41,40,36,28,53,568,,,,,,10052,,,,,
303,10052,Mega Mawile,Steel,Fairy,,39,52,43.28,40,33,34,36,34,50,55,51,61,38,24,57,48,56,48,64,689,,,,,,,,,,,
304,304,Aron,Steel,Rock,Common,16,132,21.05,11,8,34,26,24,50,38,37,43,31,18,7,17,27,21,58,439,305,,18,,,,,,,,
